,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre,A Brief History of Time,4.2,Stephen Hawking,"3,82,736","11,056",11.3k,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",science
0,Samasta padasta I & II,4.0,Outi Väisänen,5,,0 followers,"Samasta padasta aloitti vauvanruokavallankumouksen: arki ei enää ole jatkuvaa soseiden tai sormiruokien valmistusta. Entistä herkullisempi vauvan ja taaperon ruoka valmistuu vanhempien ruoan ohessa.

Samasta padasta – kaikki mitä tarvitset lapsiperheen nautinnolliseen ruokailuun tarjoaa huippusuositun kirjasarjan osat I ja II yksissä kansissa. Kirjan resepteillä, ideoilla ja vinkeillä kokkaat läpi lapsesi vauvavuoden aina kouluikään asti – ja nautit siitä. Mukana ovat hiteiksi nousseet huijarin butter chicken, pizza margherita ja muut vauvojen ja lasten uudet suosikit.

Ruokatoimittaja Outi Väisänen kehitti reseptit äitiyslomallaan, kun hän kyllästyi valmistamaan vauvalle mauttomia soseita. Kaikki ruoat syntyvät nopeasti ja helposti – ja aina maku edellä. (less)",cookbook,,,,,,,,
1,The Bikini Body 28-Day Healthy Eating & Lifestyle Guide,3.88,Kayla Itsines,409,30.0,49 followers,"The body transformation phenomenon and #1 Instagram sensation's first healthy eating and lifestyle book!
Millions of women follow Kayla Itsines and her Bikini Body Guide 28-minute workouts: energetic, kinetic, high-intensity interval training sessions that help women achieve healthy, strong bodies. Fans not only follow Kayla on Instagram, they pack stadiums for workout sessions with her, they've made her Sweat with Kayla app hit the top of the Apple App Store's health and fitness charts, and they post amazing before and after progress shots. Kayla's audience is avid and growing, with over 10 million followers worldwide.
The Bikini Body 28-Day Healthy Eating & Lifestyle Guide features:
- 200 recipes such as fresh fruit breakfast platters, smoothie bowls, and salads
- A 4-Week workout plan which includes Kayla's signature 28-Minute workouts
- Full color food shots and photos featuring Kayla throughout
""Women, particularly those younger than 30, can't get enough of her. (Fans include the actress Allison Williams and the model Candice Swanepoel)."" The New York Times
Kayla's international 2016 Sweat Tour sold out in only 4 hours!
(less)",cookbook,,,,,,,,
2,Super Shred Diet Recipes: Recipes to Help You with Your Diet,3.32,Stephanie Samson,19,0.0,0 followers,"We Recommend this for Shred Dieters

The Super Shred Diet has been voted as one of the best out there for losing weight and dropping your clothing size. The health benefits are endless, and it's already one of the best selling diets.

Stephanie Samson has cooked up these great recipes to help you with every phase in the diet, so you're not struggling with what to eat and when.

After a short introduction about the Super Shred Diet, Stephanie get's straight into the recipes for the phases in the order that you go through them.

So get your Super Shred Diet Recipes today and really make sure you stick to it with ease.

Scroll Up to Download Your Recipes Now (less)",cookbook,,,,,,,,
3,Shred Diet Made Simple: Concise Guide to Ian K Smith's Six Week Cycle Diet Plan,3.73,Betty Johnson,11,6.0,0 followers,"Switching to a heart-healthy diet may not sound appealing at first, but there are many ways that you can substitute foods in your diet so you can stay healthy and still enjoy the foods that you eat. By substituting foods high in cholesterol and fat for healthier options, you can have a positive impact on your heart health.Before you pick up that next bacon cheeseburger, consider these quick and easy food substitutions that will be kind on your heart and your waistline. ""Shred Diet Made Simple: Concise Guide to Ian K Smith's Six Week Cycle Diet Plan"" by Betty Johnson, is a perfect start to living a healthy lifestyle by eating the right foods.The book looks on foods such as ground chicken and turkey. You can substitute ground chicken or ground turkey for recipes that call for ground beef, which will lower your calorie and fat intake for any meal. Turkey and chicken can actually enhance the flavor of some dishes by allowing you to taste the actual seasoning instead of the grease that comes with ground beef.If you are at a restaurant, try ordering a turkey burger or grilled chicken sandwich instead of a hamburger. (less)",cookbook,,,,,,,,
4,"Super Shred: The Big Results Diet: 4 Weeks, 20 Pounds, Lose It Faster!",3.62,Ian K. Smith,651,26.0,253 followers,"The diet that works faster and forever!
SUPER SHRED
Using the same principles—meal spacing, snacking, meal replacement and diet confusion—that made his SHRED a major #1 bestseller—Dr. Ian has developed what dieters told him they needed: a quick-acting plan that is safe and easy to follow at home, at work, or on the road.
SUPER SHRED
It’s a program with four week-long cycles:
--Foundation, when you’ll eat four meals and three snacks a day, start shedding pounds and set yourself up for success
--Accelerate, when you’ll kick it up and speed up weight loss
--Shape, the toughest week in the program, and the one that will get your body back by keeping it guessing
--Tenacious, a final sprint that cements your improved eating habits and melts off those last stubborn pounds
The SHRED system never leaves you hungry. It’s a completely new way to lose weight, stay slender, and feel fantastic about your body, mind and spirit!
Includes more than 50 all-new recipes for meal replacing smoothies and soups! (less)",cookbook,,,,,,,,
5,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,3.55,Ian K. Smith,"1,220",99.0,253 followers,"Dr. Ian K. Smith's Shred is the answer to every dieter's biggest dilemmas: how to lose that last twenty pounds? How to push through that frustrating plateau? What to do when nothing else is working? Here, Smith has created a weight loss program that uses all he knows about strategic dieting in one plan--like putting all the best players on the field at once to create a can't lose combination. Shred combines a low GI diet, meal spacing, and meal replacements. Those who follow Shred will constantly be eating (every three and a half hours!), four meals or meal replacements (soups, smoothies, shakes) and 3 snacks a day, over a six week program. Shred also introduces Dr. Ian's concept of ""Diet Confusion"". Diet Confusion, like muscle confusion, tricks the body and revs up its performance. In the same way you need to vary your workout to see results, switch up your food intake to boost your metabolism.

No matter how often or how unsuccessfully you've dieted before, Shred: The Revolutionary Diet will change your life. Shred has taken the internet by storm, and thousands have already joined Dr. Ian's Shredder Nation, losing an average of four inches, two sizes or twenty pounds in six weeks. Utilizing the detox from Fat Smash Diet, the intense cleanse of Extreme Fat Smash, and varying food of The 4 Day Diet, Shred is a six week plan to a new way of life! (less)",cookbook,,,,,,,,
6,It's All Greek to Me: Transform Your Health the Mediterranean Way with My Family's Century-Old Recipes,4.1,Debbie Matenopoulos,126,36.0,4 followers,"Debbie Matenopoulos, the first member of her family born in America, grew up in a traditional Greek household, eating delicious, authentic Greek cooking that her family had passed down for generations.

By the time Debbie had started her television career in New York on The View, she began eating a standard American diet. But despite carefully limiting how much she ate, she found herself gaining weight and lacking energy. As Debbie’s career as an entertainment news reporter and television host on BS, MTV, E!, and other networks had her constantly on the go, she was grabbing whatever food was readily available. It was only when she returned to her traditional Greek diet that she found herself easily—and healthily—realizing her natural weight and regaining her natural energy, stamina, and physique.

Now, in It's All Greek to Me, Debbie shares 120 of her family's traditional Greek recipes and adds her own touch to make them even healthier and easier to prepare.

After tasting Debbie’s dishes, such as her mouthwatering version of Spanakopita (Spinach Feta Pie), Kalamaria Kaftera (Spicy Calamari), her family’s secret recipe for Baklava, and, of course, Arni kai Patates (Classic Roasted Leg of Lamb with Potatoes)—you’ll be amazed these delicious foods are good for you. With a foreword by Dr. Michael Ozner, one of the nation’s leading cardiologists, the recipes in It’s All Greek to Me adhere to the healthiest diet on the planet: the traditional Mediterranean Diet. Modern science is catching up to what Greeks have known for millennia: health comes from eating natural, whole-food ingredients that haven’t been processed or pumped full of hormones, antibiotics, or preservatives.

Let It’s All Greek to Me bring your friends and family together to share in the experience of a Greek meal and way of life. Opa!

A portion of all proceeds will benefit the ALS Association. (less)",cookbook,,,,,,,,
7,Veganomicon: The Ultimate Vegan Cookbook,3.82,Isa Chandra Moskowitz,"32,204",630.0,980 followers,"Who knew vegetables could taste so good? Vegan powerhouses Isa Moskowitz and Terry Romero bring a brand new edition of this beloved vegan cookbook to celebrate its 10th anniversary. You'll find 25 new dishes and updates throughout for more than 250 recipes (everything from basics to desserts), stunning color photos, and tips for making your kitchen a vegan paradise. All the recipes in Veganomicon have been thoroughly kitchen-tested to ensure user-friendliness and amazing results. Veganomicon also includes meals for all occasions and soy-free, gluten-free, and low-fat options, plus quick recipes that make dinner a snap.
(less)",cookbook,,,,,,,,
8,"Everyday Indian: 100 Fast, Fresh and Healthy Recipes",4.0,Bal Arneson,85,14.0,4 followers,"This exciting new cookbook introduces a modern concept in Indian cuisine - it can be simple, quick and delicious.

With most of the healthy recipes in Everyday Indian: 100 Fast, Fresh, and Healthy Recipes ready in less than 25 minutes, Bal Arneson proves that Indian cooking doesn't have to be complicated. Her recipes use everyday spices and common techniques to create simply mouthwatering dishes that the novice cook and experienced home chef alike can whip up at home.

Everyday Indian: 100 Fast, Fresh, and Healthy Recipes also offers low-fat options for the health conscious without ever compromising taste.

""It's one of the most exciting cookbooks I've seen, recently, full of recipes that look simple to make, but delectable. My copy is already bristling with bookmarks in the pages that contain recipes I'm going to try."" -- Judie Steeves, Kelowna Capital News (less)",cookbook,,,,,,,,
9,Thousand Recipe Chinese Cookbook,4.05,Gloria Bley Miller,196,19.0,0 followers,"An essential resource in the American kitchen and a classic for nearly four decades, this is the definitive Chinese cookbook, perfect for cooks at every level.

Here is the largest, most comprehensive Chinese cookbook ever published for the Western world. A Tastemaker Award winner, Gloria Bley Miller distills centuries of Chinese recipes and techniques into concise and easy-to-follow directions that will enable any cook to produce dishes that please the eye, delight the palate, and suit the budget.

With verve and wit, Miller tells you how to prepare everything from egg drop soup and drunken pork to sizzling rice and delicate wontons. There are 150 recipes for chicken alone, plus dozens of variations on pork dishes, vegetables, and noodles, as well as other Chinese favorites. Using Miller's recipes, ordinary meat and seafood become delicacies, while vegetables retain their color and texture. And Miller's delicious recipes are splendidly high in nutrients and low in calories.

The Thousand Recipe Chinese Cookbook contains everything the cook needs to know about Chinese cooking, including how to:

-Use special Chinese cooking techniques such as steaming and stir-frying

-Create unique seasonings and sauces

-Substitute hard-to-find ingredients with those available in any supermarket

-Plan menus suited to every time constraint, budget, and occasion

The classic Chinese cookbook, this is the only book you'll ever need to master one of the world's greatest and most versatile cuisines. (less)",cookbook,,,,,,,,
