,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre
0,Moneyball: The Art of Winning an Unfair Game,4.25,Michael Lewis,"1,19,146","5,475","11,652 followers","Billy Beane, general manager of MLB's Oakland A's and protagonist of Michael Lewis's Moneyball, had a problem: how to win in the Major Leagues with a budget that's smaller than that of nearly every other team. Conventional wisdom long held that big name, highly athletic hitters and young pitchers with rocket arms were the ticket to success. But Beane and his staff, buoyed by massive amounts of carefully interpreted statistical data, believed that wins could be had by more affordable methods such as hitters with high on-base percentage and pitchers who get lots of ground outs. Given this information and a tight budget, Beane defied tradition and his own scouting department to build winning teams of young affordable players and inexpensive castoff veterans.
Lewis was in the room with the A's top management as they spent the summer of 2002 adding and subtracting players and he provides outstanding play-by-play. In the June player draft, Beane acquired nearly every prospect he coveted (few of whom were coveted by other teams) and at the July trading deadline he engaged in a tense battle of nerves to acquire a lefty reliever. Besides being one of the most insider accounts ever written about baseball, Moneyball is populated with fascinating characters. We meet Jeremy Brown, an overweight college catcher who most teams project to be a 15th round draft pick (Beane takes him in the first). Sidearm pitcher Chad Bradford is plucked from the White Sox triple-A club to be a key set-up man and catcher Scott Hatteberg is rebuilt as a first baseman. But the most interesting character is Beane himself. A speedy athletic can't-miss prospect who somehow missed, Beane reinvents himself as a front-office guru, relying on players completely unlike, say, Billy Beane. Lewis, one of the top nonfiction writers of his era (Liar's Poker, The New New Thing), offers highly accessible explanations of baseball stats and his roadmap of Beane's economic approach makes Moneyball an appealing reading experience for business people and sports fans alike. --John Moe
(less)",sports
1,The Deal,4.27,Elle Kennedy,"4,14,978","33,424","45,379 followers","An alternative cover edition can be found here.

She's about to make a deal with the college bad boy...

Hannah Wells has finally found someone who turns her on. But while she might be confident in every other area of her life, she's carting around a full set of baggage when it comes to sex and seduction. If she wants to get her crush's attention, she'll have to step out of her comfort zone and make him take notice... even if it means tutoring the annoying, childish, cocky captain of the hockey team in exchange for a pretend date.

...and it's going to be oh so good.

All Garrett Graham has ever wanted is to play professional hockey after graduation, but his plummeting GPA is threatening everything he's worked so hard for. If helping a sarcastic brunette make another guy jealous will help him secure his position on the team, he's all for it. But when one unexpected kiss leads to the wildest sex of both their lives, it doesn't take long for Garrett to realize that pretend isn't going to cut it. Now he just has to convince Hannah that the man she wants looks a lot like him. (less)",sports
2,The Wall of Winnipeg and Me,4.28,Mariana Zapata,"1,75,487","18,479","39,145 followers","Vanessa Mazur knows she's doing the right thing. She shouldn't feel bad for quitting. Being an assistant/housekeeper/fairy godmother to the top defensive end in the National Football Organization was always supposed to be temporary. She has plans and none of them include washing extra-large underwear longer than necessary.

But when Aiden Graves shows up at her door wanting her to come back, she's beyond shocked.

For two years, the man known as The Wall of Winnipeg couldn't find it in him to tell her good morning or congratulate her on her birthday. Now? He's asking for the unthinkable.

What do you say to the man who is used to getting everything he wants? (less)",sports
3,Kulti,4.31,Mariana Zapata,"93,221","10,712","39,145 followers","“Trust me, I’ve wanted to punch you in the face a time or five.”

When the man you worshipped as a kid becomes your coach, it’s supposed to be the greatest thing in the world. Keywords: supposed to.

It didn't take a week for 27-year-old Sal Casillas to wonder what she'd seen in the international soccer icon - why she'd ever had his posters on her wall or ever envisioned marrying him and having super-playing soccer babies.

Sal had long ago gotten over the worst non-break-up in the history of imaginary relationships with a man who hadn't known she'd existed. So she isn't prepared for this version of Reiner Kulti who shows up to her team's season: a quiet, reclusive shadow of the explosive, passionate man he'd once been. (less)",sports
4,The Mistake,4.06,Elle Kennedy,"2,17,396","16,762","45,379 followers","He’s a player in more ways than one…

College junior John Logan can get any girl he wants. For this hockey star, life is a parade of parties and hook-ups, but behind his killer grins and easygoing charm, he hides growing despair about the dead-end road he’ll be forced to walk after graduation. A sexy encounter with freshman Grace Ivers is just the distraction he needs, but when a thoughtless mistake pushes her away, Logan plans to spend his final year proving to her that he’s worth a second chance.

Now he’s going to need to up his game…

After a less than stellar freshman year, Grace is back at Briar University, older, wiser, and so over the arrogant hockey player she nearly handed her V-card to. She’s not a charity case, and she’s not the quiet butterfly she was when they first hooked up. If Logan expects her to roll over and beg like all his other puck bunnies, he can think again. He wants her back? He’ll have to work for it. This time around, she’ll be the one in the driver’s seat…and she plans on driving him wild. (less)",sports
5,The Score,4.21,Elle Kennedy,"1,88,798","14,976","45,381 followers","He knows how to score, on and off the ice

Allie Hayes is in crisis mode. With graduation looming, she still doesn’t have the first clue about what she’s going to do after college. To make matters worse, she’s nursing a broken heart thanks to the end of her longtime relationship. Wild rebound sex is definitely not the solution to her problems, but gorgeous hockey star Dean Di Laurentis is impossible to resist. Just once, though, because even if her future is uncertain, it sure as heck won’t include the king of one-night stands.

It’ll take more than flashy moves to win her over

Dean always gets what he wants. Girls, grades, girls, recognition, girls…he’s a ladies man, all right, and he’s yet to meet a woman who’s immune to his charms. Until Allie. For one night, the feisty blonde rocked his entire world—and now she wants to be friends? Nope. It’s not over until he says it’s over. Dean is in full-on pursuit, but when life-rocking changes strike, he starts to wonder if maybe it’s time to stop focusing on scoring…and shoot for love. (less)",sports
6,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",4.3,Christopher McDougall,"1,92,652","15,494","1,027 followers","Full of incredible characters, amazing athletic achievements, cutting-edge science, and, most of all, pure inspiration, Born to Run is an epic adventure that began with one simple question: Why does my foot hurt? In search of an answer, Christopher McDougall sets off to find a tribe of the world’s greatest distance runners and learn their secrets, and in the process shows us that everything we thought we knew about running is wrong.

Isolated by the most savage terrain in North America, the reclusive Tarahumara Indians of Mexico’s deadly Copper Canyons are custodians of a lost art. For centuries they have practiced techniques that allow them to run hundreds of miles without rest and chase down anything from a deer to an Olympic marathoner while enjoying every mile of it. Their superhuman talent is matched by uncanny health and serenity, leaving the Tarahumara immune to the diseases and strife that plague modern existence. With the help of Caballo Blanco, a mysterious loner who lives among the tribe, the author was able not only to uncover the secrets of the Tarahumara but also to find his own inner ultra-athlete, as he trained for the challenge of a lifetime: a fifty-mile race through the heart of Tarahumara country pitting the tribe against an odd band of Americans, including a star ultramarathoner, a beautiful young surfer, and a barefoot wonder.

With a sharp wit and wild exuberance, McDougall takes us from the high-tech science labs at Harvard to the sun-baked valleys and freezing peaks across North America, where ever-growing numbers of ultrarunners are pushing their bodies to the limit, and, finally, to the climactic race in the Copper Canyons. Born to Run is that rare book that will not only engage your mind but inspire your body when you realize that the secret to happiness is right at your feet, and that you, indeed all of us, were born to run. (less)",sports
7,Him,4.29,Sarina Bowen,"46,642","6,004","14,041 followers","They don’t play for the same team. Or do they?

Jamie Canning has never been able to figure out how he lost his closest friend. Four years ago, his tattooed, wise-cracking, rule-breaking roommate cut him off without an explanation. So what if things got a little weird on the last night of hockey camp the summer they were eighteen? It was just a little drunken foolishness. Nobody died.

Ryan Wesley’s biggest regret is coaxing his very straight friend into a bet that pushed the boundaries of their relationship. Now, with their college teams set to face off at the national championship, he’ll finally get a chance to apologize. But all it takes is one look at his longtime crush, and the ache is stronger than ever.

Jamie has waited a long time for answers, but walks away with only more questions—can one night of sex ruin a friendship? If not, how about six more weeks of it? When Wesley turns up to coach alongside Jamie for one more hot summer at camp, Jamie has a few things to discover about his old friend... and a big one to learn about himself.

Warning: contains sexual situations, skinnydipping, shenanigans in an SUV and proof that coming out to your family on social media is a dicey proposition. (less)",sports
8,Pucked,3.93,Helena Hunting,"58,133","6,164","21,833 followers","With a famous NHL player for a stepbrother, Violet Hall is well acquainted with the playboy reputation of many a hockey star. So of course she isn't interested in legendary team captain Alex Waters or his pretty, beat-up face and rock-hard six-pack abs. But when Alex inadvertently obliterates Violet's misapprehension regarding the inferior intellect of hockey players, he becomes much more than just a hot body with the face to match. Suffering from a complete lapse in judgment, Violet discovers just how good Alex is with the hockey stick in his pants.

Violet believes her night of orgasmic magic with Alex is just that: one night. But Alex starts to call. And text. And email and send extravagant - and quirky - gifts. Suddenly he's too difficult to ignore and nearly impossible not to like. The problem is, the media portrays Alex as a total player, and Violet doesn't want to be part of the game. (less)",sports
9,From Lukov with Love,4.35,Mariana Zapata,"1,38,126","18,825","39,145 followers","If someone were to ask Jasmine Santos to describe the last few years of her life with a single word, it would definitely be a four-letter one.

After seventeen years—and countless broken bones and broken promises—she knows her window to compete in figure skating is coming to a close.

But when the offer of a lifetime comes in from an arrogant idiot she’s spent the last decade dreaming about pushing in the way of a moving bus, Jasmine might have to reconsider everything.

Including Ivan Lukov. (less)",sports
